listing_a,listing_b,category,comparable,confidence,reason
Buttercup Country Split White Bread 450g,The One Bread White Sliced,bread,,,
Buttercup Country Split White Bread 450g,High Fibre White Toast Bread,bread,,,
Buttercup Country Split White Bread 450g,White Bread,bread,,,
Buttercup Country Split White Bread 450g,White Bread + Vitamins & Minerals,bread,,,
Woolworths White Soft Sandwich Bread 650g,Rustic White Bread,bread,,,
Woolworths White Soft Sandwich Bread 650g,The One White Toast Bread,bread,,,
Woolworths White Soft Sandwich Bread 650g,High Fibre White Sandwich Bread,bread,,,
Woolworths White Soft Sandwich Bread 650g,The One Bread White Sliced,bread,,,
Woolworths White Soft Sandwich Bread 650g,High Fibre White Toast Bread,bread,,,
Woolworths White Soft Sandwich Bread 650g,White Bread,bread,,,
Woolworths White Soft Sandwich Bread 650g,White Bread + Vitamins & Minerals,bread,,,
Abbott's Bakery Country Grains Sandwich Slice Bread Loaf 800g,Country Grains Bread,bread,,,
Abbott's Bakery Country Grains Sandwich Slice Bread Loaf 800g,High Fibre White Sandwich Bread,bread,,,
Abbott's Bakery Farmhouse Wholemeal Bread Sandwich Slice Loaf 750g,The One Wholemeal Sandwich Bread,bread,,,
Abbott's Bakery Farmhouse Wholemeal Bread Sandwich Slice Loaf 750g,Bread Wholemeal Plus Iron,bread,,,
Abbott's Bakery Farmhouse Wholemeal Bread Sandwich Slice Loaf 750g,Traditional Wholemeal Bread,bread,,,
Abbott's Bakery Farmhouse Wholemeal Bread Sandwich Slice Loaf 750g,High Fibre Wholemeal Bread,bread,,,
Abbott's Bakery Farmhouse Wholemeal Bread Sandwich Slice Loaf 750g,Farmhouse Wholemeal Bread,bread,,,
Helga's Bread Light Rye 680g,Light Rye Bread,bread,,,
Woolworths Wholemeal Soft Sandwich Bread 650g,The One Wholemeal Sandwich Bread,bread,,,
Woolworths Wholemeal Soft Sandwich Bread 650g,Bread Wholemeal Plus Iron,bread,,,
Woolworths Wholemeal Soft Sandwich Bread 650g,Traditional Wholemeal Bread,bread,,,
Woolworths Wholemeal Soft Sandwich Bread 650g,High Fibre Wholemeal Bread,bread,,,
Woolworths Wholemeal Soft Sandwich Bread 650g,Farmhouse Wholemeal Bread,bread,,,
Tip Top The One Wholemeal Bread Sandwich Slice Loaf Bakery 700g,The One Wholemeal Sandwich Bread,bread,,,
Tip Top The One Wholemeal Bread Sandwich Slice Loaf Bakery 700g,Bread Wholemeal Plus Iron,bread,,,
Tip Top The One Wholemeal Bread Sandwich Slice Loaf Bakery 700g,Traditional Wholemeal Bread,bread,,,
Tip Top The One Wholemeal Bread Sandwich Slice Loaf Bakery 700g,High Fibre Wholemeal Bread,bread,,,
Tip Top The One Wholemeal Bread Sandwich Slice Loaf Bakery 700g,Farmhouse Wholemeal Bread,bread,,,
Woolworths White Soft Hi-Fibre Bread 700g,Rustic White Bread,bread,,,
Woolworths White Soft Hi-Fibre Bread 700g,The One White Toast Bread,bread,,,
Woolworths White Soft Hi-Fibre Bread 700g,Bread High Fibre Multigrain,bread,,,
Woolworths White Soft Hi-Fibre Bread 700g,High Fibre White Sandwich Bread,bread,,,
Woolworths White Soft Hi-Fibre Bread 700g,The One Bread White Sliced,bread,,,
Woolworths White Soft Hi-Fibre Bread 700g,High Fibre White Toast Bread,bread,,,
Woolworths White Soft Hi-Fibre Bread 700g,White Bread,bread,,,
Woolworths White Soft Hi-Fibre Bread 700g,White Bread + Vitamins & Minerals,bread,,,
Manning Valley 30 Free Range Eggs 1.65kg,Free Range Eggs 12pack,eggs,,,
Woolworths 6 Extra Large Free Range Eggs 350g,Free Range Eggs 12pack,eggs,,,
Sunny Queen 12 Extra Large Cage Free Eggs 700g,Free Range Eggs 12pack,eggs,,,
Manning Valley 12 Large Free Range Eggs 600g,Free Range Eggs 12pack,eggs,,,
Woolworths 12 Large Free Range Eggs 600g,Free Range Eggs 12pack,eggs,,,
Pace Farm 12 For Everyone Free Range Jumbo Eggs 800g,Free Range Eggs 12pack,eggs,,,
Pace Farm 18 For Everyone Free Range Large Eggs 900g,Free Range Eggs 12pack,eggs,,,
Sunny Queen 12 Extra Large Free Range Eggs 700g,Free Range Eggs 12pack,eggs,,,
Sunny Queen 30 Extra Large Cage Free Eggs 1.75kg,Free Range Eggs 12pack,eggs,,,
Yallamundi Farm 12 Extra Large Pasture Raised Free Range Eggs 700g,Free Range Eggs 12pack,eggs,,,
Woolworths 18 Large Cage Free Eggs 900g,Free Range Eggs 12pack,eggs,,,
Lake Macquarie 12 Extra Large Free Range Eggs 700g,Free Range Eggs 12pack,eggs,,,
Sunny Queen The Odd Eggs Free Range Egg Mix 500g,Free Range Eggs 12pack,eggs,,,
Pace Farm 12 For Everyone Free Range Extra Large Eggs 700g,Free Range Eggs 12pack,eggs,,,
Open Range 12 Large Free Range Eggs 700g,Free Range Eggs 12pack,eggs,,,
Watson Family Farm 12 Free Range Eggs 700g,Free Range Eggs 12pack,eggs,,,
Manning Valley 12 Extra Large Free Range Eggs 700g,Free Range Eggs 12pack,eggs,,,
Woolworths 12 Extra Large Cage Free Eggs 700g,Free Range Eggs 12pack,eggs,,,
Woolworths 12 X-Large Free Range Eggs 700g,Free Range Eggs 12pack,eggs,,,
Devondale Butter Block Salted 250g,Butter Slightly Salted,butter,,,
Devondale Butter Block Salted 250g,Protein Muesli Bars Salted Caramel Nut Butter,butter,,,
Devondale Butter Block Salted 250g,Butter Soft Salted Spreadable Butter,butter,,,
Devondale Butter Block Salted 250g,Salted Butter,butter,,,
Devondale Butter Block Salted 250g,Butter Spreadable Slightly Salted,butter,,,
Devondale Butter Block Salted 250g,Butter Block Unsalted,butter,,,
Westgold Butter Salted 400g,Butter Slightly Salted,butter,,,
Westgold Butter Salted 400g,Protein Muesli Bars Salted Caramel Nut Butter,butter,,,
Westgold Butter Salted 400g,Butter Soft Salted Spreadable Butter,butter,,,
Westgold Butter Salted 400g,Salted Butter,butter,,,
Westgold Butter Salted 400g,Butter Spreadable Slightly Salted,butter,,,
Lurpak Butter Spreadable Slightly Salted 250g,Butter Slightly Salted,butter,,,
Lurpak Butter Spreadable Slightly Salted 250g,Spreadable Butter Blend Original,butter,,,
Lurpak Butter Spreadable Slightly Salted 250g,Protein Muesli Bars Salted Caramel Nut Butter,butter,,,
Lurpak Butter Spreadable Slightly Salted 250g,Butter Soft Salted Spreadable Butter,butter,,,
Lurpak Butter Spreadable Slightly Salted 250g,Salted Butter,butter,,,
Lurpak Butter Spreadable Slightly Salted 250g,Butter Soft Salt Reduced Spreadable Butter,butter,,,
Lurpak Butter Spreadable Slightly Salted 250g,Butter Spreadable Slightly Salted,butter,,,
Devondale Dairy Soft Spreadable Butter 500g,Extra Soft Butter Less Fat,butter,,,
Devondale Dairy Soft Spreadable Butter 500g,Spreadable Butter Blend Original,butter,,,
Devondale Dairy Soft Spreadable Butter 500g,Butter Soft Salted Spreadable Butter,butter,,,
Devondale Dairy Soft Spreadable Butter 500g,Dairy Butter,butter,,,
Devondale Dairy Soft Spreadable Butter 500g,Dairy Unsalted Butter Pat,butter,,,
